ticker,alpha,MERCADO,VALUE,TAMANO,MOMENTUM,VOLATILIDAD,LIQUIDEZ,r2,n_obs,suma_beta
DD,0.00315757802873862,1.121721799963837,0.1822702176462905,-0.021507712059839097,0.1435588027910625,-0.6945492957815055,0.26850618744015464,0.620915090849787,97,1.0
DE,-0.0009527945932936138,0.7990093189127132,0.22889137740693374,0.45694669836232943,0.029481974710979957,-0.21361698824841815,-0.30071238114453813,0.36292064342894736,106,0.9999999999999999
DELL,,,,,,,,,9,
DHR,0.008473758484121519,0.9985392852020318,-0.2353517480981565,-0.008220682511904585,-0.14763309382241963,0.19373373993469953,0.19893249929574935,0.27290397458178683,189,1.0
DIS,-0.004727048438580401,1.325730593022528,-0.08953870614039759,0.05056231931070005,-0.26418534736634836,0.024876475804639378,-0.0474453346311215,0.4853480803648481,190,0.9999999999999999
DUK,0.00494564501267687,0.5644115876906818,-0.38464810216007994,0.2538929023802431,-0.37577926590403626,0.6699363142924184,0.2721865637007729,0.3704990439229121,120,0.9999999999999999
DVN,,,,,,,,,13,
EBAY,0.007513518555375655,0.7482945338693231,-0.47759396083922445,0.18764527904285158,0.5554576109664293,-0.3021288020890456,0.28832533904966606,0.27799508903740555,49,1.0
ELV,0.0045225204968329285,0.8214196030864025,0.09905858436141415,0.06056860394125545,-0.253800243454288,0.30785901955405204,-0.035105567488836115,0.3267342899995802,96,1.0
EMR,0.0027837737850594808,0.7176973761760131,-0.5464937208529448,0.7280755713703598,-0.5124636932183634,-0.39513144220267116,1.0083159087276063,0.6379788835322613,49,1.0
EOG,-0.017709936605924792,0.8481639885016756,-0.06268241678932174,1.9051884608818073,-0.46213885160999324,-0.7269167325477233,-0.5016144484364446,0.44427886874185807,60,1.0
EQIX,,,,,,,,,12,
ETN,0.006138507576959027,0.8614946977153033,0.012355491462521268,-0.03431373503208907,0.463547156495541,0.00532719675375197,-0.3084108073950285,0.4075297674190147,45,1.0
EXC,-0.0018649079574746298,0.3569449847881754,0.49252792499624387,-0.5482521216320797,-0.0953851583087251,0.4041127516637122,0.39005161849267334,0.3170631077424969,25,1.0
F,-0.019827302848781876,0.9922304306901,0.39388798479986886,0.7444166568553442,-0.031985857298305574,-0.3629059959780664,-0.7356432190689411,0.5339618164510852,73,1.0
FCX,-0.0022745010228045113,0.38833186963752986,1.1027561077815111,0.43558202109086597,0.3828238764300986,-1.391877974276599,0.0823840993365933,0.7306284077671699,25,0.9999999999999999
FDX,-0.008111867848968862,1.1835921876232434,-0.32043957906837195,0.8548873181413208,-0.37971532659763935,0.11848166753100936,-0.4568062676295622,0.37935299504059916,37,1.0
FIS,-0.029295827234568722,1.1684318643820215,-0.6162471952848732,1.2218821802952342,-0.8481439379030007,0.5831114790110941,-0.5090343905004759,0.6198145039925191,24,1.0
FISV,0.019186658444691602,0.8575406740353081,-0.12526217613193055,0.6134793882629166,-0.19817976456663883,0.10293226317914882,-0.2505103847788041,0.2877196231759962,24,0.9999999999999998
GD,0.0015326382351089798,0.8096179443680589,-0.07356721468947705,0.805341962183983,-0.4186716086605512,-0.34160486125482137,0.21888377805280773,0.5156097415555132,37,1.0
GE,0.0006311133638516046,1.195618505849705,0.21979189244752667,-0.05944453483011208,-0.14528132015065073,-0.19899805510543,-0.011686488211038924,0.35354417655833914,178,1.0
GEV,,,,,,,,,21,
GILD,-0.0001601971061003323,0.5798882684656328,0.22394862000005392,0.5428148249344872,0.07843801519327352,0.08010807976468604,-0.5051978083581334,0.14700534272376886,190,1.0
GIS,,,,,,,,,12,
GLW,,,,,,,,,10,
GM,-0.008119252396246342,1.1916548603370694,0.5427122073031367,0.35274567294900344,0.3264307434030306,-0.6946210076163594,-0.718922476375881,0.5622188509349367,24,0.9999999999999996
GOOGL,0.010216749077000353,1.035137770945146,-0.304732826712148,-0.060055255657802585,0.09227549956547024,-0.1100757055583642,0.3474505174176986,0.4058459739922513,190,0.9999999999999999
GS,-0.0019158675932856239,1.1883066601208427,0.7501822179128144,-0.11803824531180647,-0.055461154441652935,-0.44373850100975676,-0.321250977270441,0.6809955538178798,190,0.9999999999999998
HAL,0.0049408317099289625,0.6655757329879378,0.42614576784636315,-0.013319856088737522,0.6151989710077816,-0.9898052842698865,0.29620466851654137,0.44493633039530733,49,0.9999999999999999
HD,0.003192579330765345,1.0886686606464113,0.05443508886331598,-0.08637641126391168,0.12797623681213324,0.21151815112558625,-0.3962217261835351,0.47453026613866045,190,1.0000000000000002
HON,-0.0003070410379231275,1.0190313164371245,0.057892384668246505,0.08961490359522617,-0.11501743490652129,0.015867770871433796,-0.06738894066550967,0.6145920854985608,181,1.0
HOOD,,,,,,,,,12,
HPQ,-0.023664913031770082,1.3412601096231125,0.015975495634913017,0.5217268444869699,0.03607830578119198,-0.3626394900610578,-0.5524012654651296,0.3196134904083401,61,1.0
IBM,-0.0001324891453588641,0.8202850106571322,0.2317348090046828,-0.10204162282172702,0.12421663051066986,-0.17906511010543777,0.10487028275467994,0.28511003751350295,190,0.9999999999999999
INTC,-0.006627837765905599,0.8162773761879241,0.15765520036267766,0.29436228220445965,0.9034062884956815,-0.9982398754407275,-0.1734612718100153,0.3957954815180136,190,1.0000000000000002
INTU,0.0002424161222300375,1.1395308808242528,-0.5809801262649307,0.34997795726772035,0.12977106518266038,0.021953646518548475,-0.060253423528251415,0.592566251617446,96,1.0
ISRG,0.012048175559283152,1.2456379087880542,-0.8995441635948684,-0.16453003662054397,-0.22784551498059763,0.4641250310124398,0.5821567753955159,0.5185669895718908,93,0.9999999999999999
ITW,,,,,,,,,1,
JNJ,0.007891905931713955,0.5986936185745749,0.01532893415103867,0.0056778685786612855,0.01259853849569717,0.2910970389527584,0.0766040012472695,0.33208481004578505,190,0.9999999999999999
JPM,0.00596184574783027,1.0471507259209882,0.8017601753917132,-0.34623155346331047,0.05282732370112467,-0.2523983836644532,-0.3031082878860624,0.6339277567721686,190,1.0
KHC,,,,,,,,,17,
KLAC,0.019395255649718942,-0.16442297736853861,-1.0077950867485015,0.7525720679959109,0.970834659859766,-0.012448709284307968,0.4612600455456712,0.5313418688121216,33,1.0
KMB,0.003597944691327186,0.9309324860766633,-0.33926024871448857,-0.1552390410464777,-0.10885963597253892,0.7035490858417349,-0.031122646184893174,0.49278015160252686,49,0.9999999999999999
KMI,-0.03871639099334515,1.18510560579557,-0.6885265824245907,2.0976384005916544,-2.3026874671741138,0.3890623252787565,0.3194077179327236,0.35214463374271254,24,0.9999999999999998
KO,0.0046206326130100546,0.6275719730313045,-0.15387419106820988,0.15870143156317007,-0.11299287126722522,0.36084449130064383,0.11974916644031669,0.38828507301190973,190,1.0
LIN,0.00040257325774992187,0.8906842914385719,0.09542197956306672,0.06427432597234661,0.08669198408099564,0.18731666710304024,-0.32438924815802106,0.46737404310729447,130,1.0
LLY,0.023315006619192037,0.519031373468907,-0.22486151465971171,-0.18103396335903973,0.2812341656732413,0.273541789617835,0.3320881492587682,0.1350741098625351,190,1.0
LMT,0.0021738485510010676,0.6942498525768135,0.15969589996995526,0.37322578596330747,-0.1351305968386483,0.4580196836493548,-0.5500606253207827,0.3406886297895664,132,1.0000000000000002
LOW,0.0005907345154529301,1.2251077380282769,0.06829531085255225,-0.0012593233513620281,0.10430308888129919,0.17597720463903482,-0.5724240190498011,0.44267902052715147,181,1.0000000000000002
LRCX,0.0070268350918790065,0.7791912842738344,0.1358822358824534,0.3916525472713526,0.43528054072093086,-0.9723355222316195,0.23032891408304823,0.5425010039984868,57,1.0
LYB,,,,,,,,,12,
MA,0.006974716608726968,1.0524996548111554,-0.1828628915417101,0.2370494495202589,-0.20486191246822547,0.26371498992039716,-0.1655392902418758,0.45717535806791965,189,1.0
MCD,0.005522568507400247,0.7006489940621612,-0.12895913567331324,0.043895214760291075,-0.11306700685069908,0.4000768576752232,0.0974050760263369,0.3828584652961069,190,1.0000000000000002
MCK,0.0011304725845761373,0.5087894120928083,0.2458632964093388,0.3195582297451421,0.6423113742464605,-0.17268540918776232,-0.5438369033059873,0.2029552722169493,24,0.9999999999999998
MDLZ,0.0041884065312945955,0.829304519951489,-0.13276683738887368,0.09985372204260655,-0.24823818804765246,0.4942054829670322,-0.04235869952460167,0.4467545701559108,157,0.9999999999999998
MDT,-0.00041799733761385346,0.821356733890684,-0.3532708968081257,0.38181534501373277,-0.2727353696430091,0.3028620273697542,0.11997216017696383,0.39971549799382633,190,1.0
MET,-0.00443950136592061,1.2831322125355107,0.4941413187215936,0.07686749276615504,-0.1455197261130068,-0.62686958393053,-0.08175171397972239,0.7354958068761401,85,1.0
META,0.010910357078808797,1.2068358645766013,-0.3204400702100298,-0.04198017200752462,0.0057970692252767506,-0.04677355424913182,0.1965608626648081,0.26601190373615746,153,1.0
